iter	RMSE
0	150.3015701
1	147.9735417
2	146.1620029
3	144.0151048
4	141.549078
5	139.2895891
6	137.0226369
7	135.0586773
8	132.9590481
9	131.0569304
10	128.8807953
11	126.7282002
12	124.8632218
13	123.1176096
14	121.2254412
15	119.3012589
16	117.7814231
17	116.017715
18	114.3727505
19	112.7481668
20	111.1988317
21	109.5112689
22	108.0392841
23	106.5315837
24	105.057023
25	103.6503004
26	102.1407695
27	100.5642466
28	98.99328688
29	97.70070344
30	96.28247273
31	95.02042714
32	93.64512161
33	92.42757169
34	91.07295171
35	89.79770868
36	88.42295566
37	87.25896675
38	85.93273079
39	84.78397011
40	83.4173262
41	82.1918819
42	80.96631861
43	79.76364485
44	78.61370157
45	77.4182566
46	76.30133649
47	75.20361233
48	74.08419496
49	73.15362732
50	72.1890451
51	71.08160224
52	70.1482728
53	69.25589784
54	68.37611114
55	67.38417037
56	66.4436135
57	65.48729325
58	64.50027875
59	63.56793489
60	62.62895679
61	61.71746568
62	60.80434288
63	59.95814592
64	59.08668413
65	58.32671996
66	57.43930204
67	56.56725151
68	55.66450544
69	54.89940302
70	54.04410566
71	53.26332021
72	52.49926359
73	51.76145458
74	51.0502752
75	50.39807375
76	49.69128671
77	49.04011577
78	48.34733574
79	47.66813683
80	47.08108573
81	46.45112805
82	45.79643322
83	45.12284104
84	44.46420079
85	43.90413436
86	43.32489128
87	42.69409459
88	42.09722206
89	41.60418421
90	41.01427519
91	40.43326969
92	39.86698147
93	39.30461443
94	38.80524225
95	38.27166472
96	37.74116697
97	37.21681979
98	36.74590453
99	36.25308858
100	35.76582846
101	35.30597722
102	34.83726146
103	34.36370853
104	33.93853406
105	33.50912587
106	33.08658701
107	32.65956859
108	32.18958279
109	31.80622232
110	31.39152637
111	30.97495554
112	30.58896627
113	30.23945242
114	29.866569
115	29.49200249
116	29.11244284
117	28.72154347
118	28.3504103
119	28.05296989
120	27.75739956
121	27.43054895
122	27.06599619
123	26.75317705
124	26.43020196
125	26.13714058
126	25.83298443
127	25.52335069
128	25.224047
129	24.92410265
130	24.60488545
131	24.29977681
132	24.00639852
133	23.72763968
134	23.44332412
135	23.16867363
136	22.92420518
137	22.66344435
138	22.42356449
139	22.21290409
140	21.95722107
141	21.70310179
142	21.47851572
143	21.23290891
144	21.04501294
145	20.80924641
146	20.56691096
147	20.35478162
148	20.14072226
149	19.91687087
150	19.73159841
151	19.50414841
152	19.28869195
153	19.0755145
154	18.87284783
155	18.69371253
156	18.52941873
157	18.33941942
158	18.18233886
159	17.99087615
160	17.80392146
161	17.61572222
162	17.43197916
163	17.24746525
164	17.07069115
165	16.89891288
166	16.71819959
167	16.54386667
168	16.41805447
169	16.24711411
170	16.07527944
171	15.91391272
172	15.74477257
173	15.59468571
174	15.45473849
175	15.2971624
176	15.14868528
177	14.99359337
178	14.84013315
179	14.69114288
180	14.53957541
181	14.40619981
182	14.26819787
183	14.12283039
184	13.97971156
185	13.83848928
186	13.70402069
187	13.57096729
188	13.43683397
189	13.31318716
190	13.1864666
191	13.05125806
192	12.92559281
193	12.81096076
194	12.69343391
195	12.56576516
196	12.43929829
197	12.3192261
198	12.20745138
199	12.08648205
200	11.96939427
201	11.86137579
202	11.76352965
203	11.65060976
204	11.54895623
205	11.44221929
206	11.37807123
207	11.27804718
208	11.16581273
209	11.06923017
210	10.97297548
211	10.88085498
212	10.78094449
213	10.67700995
214	10.58172047
215	10.47958287
216	10.38878108
217	10.29174337
218	10.19516907
219	10.10683916
220	10.01688558
221	9.9245628
222	9.844596459
223	9.758278811
224	9.668435932
225	9.588000015
226	9.504875851
227	9.42410769
228	9.340193632
229	9.266832569
230	9.190273248
231	9.115656327
232	9.06823216
233	8.989027375
234	8.912743171
235	8.866944808
236	8.793376087
237	8.717546393
238	8.645020355
239	8.601393586
240	8.526600443
241	8.481086395
242	8.413377696
243	8.349620888
244	8.288695671
245	8.219077256
246	8.15300476
247	8.085294192
248	8.017289762
249	7.973786465
250	7.916931934
251	7.852714094
252	7.791532761
253	7.730183871
254	7.66886639
255	7.606849319
256	7.56733709
257	7.507638633
258	7.46852474
259	7.408654382
260	7.352083455
261	7.314362882
262	7.259028596
263	7.202312528
264	7.147177748
265	7.112241706
266	7.060882408
267	7.024841784
268	6.988405712
269	6.935947831
270	6.884782063
271	6.833093435
272	6.800106075
273	6.765925858
274	6.731873056
275	6.682834404
276	6.631829664
277	6.583340563
278	6.550982728
279	6.519276742
280	6.488325484
281	6.457066847
282	6.425115939
283	6.395042073
284	6.365186841
285	6.317059012
286	6.27049756
287	6.237422944
288	6.208488464
289	6.179059723
290	6.149846492
291	6.119972766
292	6.077087492
293	6.049059785
294	6.005283043
295	5.97787396
296	5.949162652
297	5.921204558
298	5.892883138
299	5.866099374
300	5.838320902
301	5.797887993
302	5.770499582
303	5.744712593
304	5.718492014
305	5.691375359
306	5.66475121
307	5.639362367
308	5.613922991
309	5.589264423
310	5.564443721
311	5.525369776
312	5.50112473
313	5.475725345
314	5.451438288
315	5.427336062
316	5.403417526
317	5.378991237
318	5.342374201
319	5.319029043
320	5.295862853
321	5.27287453
322	5.250062979
323	5.227949846
324	5.206007745
325	5.183708439
326	5.149442675
327	5.127512039
328	5.105751756
329	5.084160774
330	5.062738048
331	5.041482543
332	5.020393226
333	4.998693334
334	4.977212451
335	4.955867859
336	4.935444698
337	4.915182661
338	4.895080751
339	4.875137978
340	4.85535336
341	4.835725917
342	4.816254676
343	4.796938671
344	4.77777694
345	4.758768525
346	4.739912477
347	4.721207848
348	4.702653699
349	4.684249092
350	4.665993096
351	4.647884787
352	4.629923241
353	4.612107542
354	4.594436778
355	4.57691004
356	4.559526427
357	4.541611428
358	4.52451461
359	4.507558227
360	4.490741391
361	4.47340848
362	4.456871238
363	4.440470904
364	4.423567162
365	4.407441095
366	4.391449328
367	4.374966512
368	4.359243753
369	4.343652721
370	4.328192567
371	4.302758765
372	4.275190727
373	4.260134639
374	4.233125562
375	4.218332876
376	4.1918728
377	4.168008566
378	4.142269078
379	4.119028193
380	4.10488114
381	4.082071044
382	4.068169035
383	4.043687578
384	4.030030319
385	4.008060212
386	3.984372962
387	3.971075815
388	3.957893261
389	3.935457976
390	3.914901468
391	3.902069567
392	3.881577296
393	3.860437784
394	3.839612199
395	3.819876102
396	3.803005576
397	3.790831593
398	3.770812782
399	3.758852082
400	3.746996367
401	3.727090932
402	3.711046351
403	3.699494791
404	3.688045305
405	3.667988325
406	3.656740871
407	3.645593304
408	3.626062766
409	3.615112761
410	3.600042166
411	3.589281779
412	3.570413259
413	3.559844768
414	3.549371243
415	3.530020598
416	3.519731103
417	3.509534522
418	3.492668618
419	3.482657861
420	3.464110415
421	3.454276709
422	3.444532544
423	3.428881318
424	3.419313519
425	3.409833311
426	3.400440056
427	3.384750451
428	3.375530249
429	3.358183497
430	3.349128297
431	3.340156834
432	3.32513132
433	3.316326012
434	3.307602558
435	3.291049942
436	3.282483834
437	3.273997734
438	3.257874604
439	3.249542211
440	3.24128801
441	3.227311787
442	3.219212007
443	3.205501557
444	3.197553567
445	3.189680787
446	3.176902023
447	3.169169829
448	3.154236944
449	3.146646533
450	3.138835813
451	3.126544808
452	3.119163405
453	3.111565453
454	3.100256246
455	3.092795964
456	3.085410207
457	3.074367559
458	3.067116116
459	3.053448993
460	3.046332346
461	3.039287207
462	3.025980463
463	3.019066667
464	3.012222596
465	3.005447642
466	2.992494356
467	2.985850366
468	2.97927369
469	2.968441269
470	2.961985609
471	2.955595592
472	2.943428067
473	2.937153977
474	2.930943905
475	2.919079406
476	2.912982503
477	2.906948029
478	2.895507388
479	2.889585404
480	2.883724241
481	2.873756383
482	2.868004339
483	2.858200297
484	2.85255555
485	2.842912399
486	2.837373152
487	2.831891233
488	2.822543714
489	2.817162741
490	2.806621683
491	2.801342115
492	2.792271051
493	2.78709203
494	2.781966935
495	2.772970815
496	2.767942304
497	2.759189314
498	2.754254181
499	2.744336942
500	2.739495467
501	2.730892194
502	2.726142329
503	2.721442367
504	2.710560925
505	2.705946987
506	2.701381687
507	2.693140903
508	2.688662426
509	2.6794655
510	2.675069109
511	2.667063262
512	2.662750746
513	2.658484047
514	2.649484977
515	2.639421522
516	2.635272837
517	2.631168312
518	2.627107524
519	2.617330209
520	2.613199067
521	2.609256082
522	2.599894751
523	2.595879413
524	2.591909073
525	2.582767382
526	2.578870577
527	2.569913763
528	2.566088952
529	2.557312425
530	2.553558106
531	2.549846186
532	2.541272178
533	2.537628629
534	2.531166157
535	2.527590413
536	2.51926924
537	2.515759338
538	2.509477873
539	2.506033505
540	2.497955422
541	2.494574461
542	2.491232204
543	2.483336367
544	2.480055598
545	2.471885769
546	2.465941612
547	2.462744479
548	2.45689065
549	2.453753677
550	2.446206761
551	2.443127556
552	2.437432983
553	2.434411908
554	2.427472692
555	2.421894581
556	2.418952826
557	2.412171096
558	2.40936196
559	2.403920926
560	2.401115331
561	2.394146589
562	2.391432811
563	2.384890882
564	2.3821721
565	2.376917546
566	2.37026844
567	2.365094268
568	2.362464699
569	2.357366424
570	2.350882585
571	2.348320723
572	2.343318202
573	2.338370566
574	2.332046172
575	2.329568278
576	2.324712723
577	2.322281882
578	2.316108915
579	2.311343074
580	2.306629296
581	2.304278133
582	2.298254212
583	2.293626779
584	2.291336284
585	2.284967086
586	2.282751161
587	2.276891983
588	2.274664851
589	2.270180445
590	2.265744697
591	2.260023287
592	2.257868977
593	2.253512366
594	2.24790894
595	2.243614749
596	2.241530831
597	2.237297685
598	2.231823942
599	2.227651028
600	2.225635125
601	2.221521354
602	2.214075074
603	2.212147017
604	2.210189956
605	2.208301552
606	2.204316853
607	2.197081617
608	2.195235474
609	2.193352227
610	2.19154407
611	2.184474145
612	2.182691842
613	2.18086671
614	2.179121107
615	2.17533666
616	2.168461343
617	2.166754411
618	2.164997371
619	2.163325593
620	2.15660353
621	2.154955382
622	2.153251966
623	2.1496386
624	2.148037318
625	2.143523477
626	2.139972266
627	2.138337822
628	2.133908095
629	2.130416127
630	2.126961269
631	2.12261429
632	2.119606149
633	2.116661195
634	2.113777863
635	2.110954629
636	2.108190012
637	2.105345628
638	2.102560365
639	2.099832796
640	2.097161534
641	2.094545224
642	2.091982549
643	2.089472226
644	2.087013004
645	2.084603667
646	2.082243029
647	2.079929935
648	2.077663259
649	2.075441907
650	2.073264811
651	2.071130932
652	2.069039257
653	2.0669888
654	2.064978601
655	2.063007723
656	2.061075256
657	2.05918031
658	2.057322022
659	2.055927879
660	2.054127911
661	2.052776415
662	2.051444719
663	2.049722524
664	2.048431417
