iter	Passed	Remaining
0	57	57306
1	57	28655
2	57	19144
3	57	14362
4	57	11501
5	57	9586
6	57	8219
7	58	7193
8	58	6401
9	58	5762
10	58	5236
11	58	4803
12	58	4434
13	58	4117
14	58	3840
15	58	3601
16	58	3389
17	58	3200
18	58	3032
19	58	2882
20	58	2745
21	58	2622
22	59	2508
23	59	2404
24	59	2310
25	59	2222
26	59	2139
27	59	2062
28	59	1991
29	59	1925
30	59	1863
31	59	1805
32	59	1751
33	59	1700
34	59	1651
35	59	1605
36	59	1561
37	60	1520
38	60	1481
39	60	1444
40	60	1409
41	60	1375
42	60	1342
43	60	1312
44	60	1284
45	60	1256
46	60	1229
47	60	1204
48	60	1179
49	60	1156
50	60	1133
51	61	1112
52	61	1091
53	61	1071
54	61	1052
55	61	1033
56	61	1016
57	61	998
58	61	986
59	61	969
60	61	954
61	62	939
62	62	924
63	62	909
64	62	896
65	62	883
66	62	870
67	62	857
68	62	844
69	62	832
70	62	820
71	62	809
72	62	798
73	62	787
74	62	776
75	63	766
76	63	757
77	63	747
78	63	739
79	63	730
80	63	721
81	63	712
82	63	704
83	63	695
84	63	687
85	63	678
86	63	671
87	64	663
88	64	656
89	64	649
90	64	642
91	64	635
92	64	628
93	64	622
94	64	615
95	64	608
96	64	602
97	64	596
98	64	590
99	64	584
100	64	578
101	65	572
102	65	566
103	65	561
104	65	556
105	65	550
106	65	545
107	65	540
108	65	535
109	65	530
110	65	524
111	65	520
112	65	515
113	65	510
114	65	506
115	65	502
116	65	497
117	65	493
118	66	488
119	66	484
120	66	480
121	66	476
122	66	472
123	66	468
124	66	465
125	66	461
126	66	457
127	66	454
128	66	450
129	66	446
130	66	443
131	66	440
132	67	437
133	67	433
134	67	430
135	67	427
136	67	423
137	67	420
138	67	417
139	67	414
140	67	412
141	67	410
142	67	407
143	68	404
144	68	401
145	68	398
146	68	395
147	68	393
148	68	390
149	68	387
150	68	385
151	68	382
152	68	380
153	68	377
154	68	375
155	68	372
156	68	369
157	68	367
158	68	364
159	69	362
160	69	360
161	69	357
162	69	355
163	69	353
164	69	350
165	69	348
166	69	346
167	69	344
168	69	341
169	69	339
170	69	337
171	69	335
172	69	333
173	69	331
174	69	329
175	69	327
176	70	325
177	70	323
178	70	322
179	70	320
180	70	318
181	70	316
182	70	314
183	70	312
184	70	311
185	70	309
186	70	307
187	70	305
188	70	303
189	70	302
190	70	300
191	71	298
192	71	297
193	71	295
194	71	294
195	71	292
196	71	290
197	71	289
198	71	287
199	71	285
200	71	284
201	71	283
202	71	281
203	71	280
204	71	278
205	71	277
206	72	275
207	72	274
208	72	273
209	72	271
210	72	270
211	72	269
212	72	267
213	72	266
214	72	265
215	72	263
216	72	262
217	72	261
218	72	259
219	72	258
220	73	257
221	73	256
222	73	254
223	73	253
224	73	252
225	73	250
226	73	249
227	73	248
228	73	247
229	73	246
230	73	245
231	73	244
232	73	243
233	73	242
234	73	240
235	74	239
236	74	238
237	74	237
238	74	236
239	74	235
240	74	234
241	74	233
242	74	232
243	74	231
244	74	230
245	74	229
246	74	228
247	75	227
248	75	226
249	75	225
250	75	224
251	75	223
252	75	222
253	75	221
254	75	220
255	75	219
256	75	218
257	75	217
258	75	217
259	75	216
260	76	215
261	76	214
262	76	213
263	76	212
264	76	211
265	76	210
266	76	210
267	76	209
268	76	208
269	76	207
270	76	206
271	76	205
272	76	204
273	77	204
274	77	203
275	77	202
276	77	201
277	77	201
278	77	200
279	77	199
280	77	198
281	77	197
282	77	196
283	77	196
284	77	195
285	77	194
286	78	193
287	78	193
288	78	192
289	78	191
290	78	190
291	78	190
292	78	189
293	78	188
294	78	187
295	78	187
296	78	186
297	78	185
298	78	184
299	78	184
300	78	183
301	79	182
302	79	182
303	79	181
304	79	180
305	79	180
306	79	179
307	79	178
308	79	177
309	79	177
310	79	176
311	79	175
312	79	175
313	79	174
314	80	174
315	80	173
316	80	172
317	80	172
318	80	171
319	80	170
320	80	170
321	80	169
322	80	169
323	80	168
324	80	167
325	80	167
326	81	166
327	81	166
328	81	165
329	81	164
330	81	164
331	81	163
332	81	163
333	81	162
334	81	162
335	81	161
336	81	160
337	81	160
338	81	159
339	81	159
340	82	158
341	82	157
342	82	157
343	82	156
344	82	156
345	82	155
346	82	155
347	82	154
348	82	153
349	82	153
350	82	152
351	82	152
352	82	151
353	82	151
354	83	150
355	83	150
356	83	149
357	83	149
358	83	148
359	83	148
360	83	147
361	83	147
362	83	146
363	83	146
364	83	145
365	83	145
366	83	144
367	83	144
368	84	143
369	84	143
370	84	142
371	84	142
372	84	141
373	84	141
374	84	140
375	84	140
376	84	139
377	84	139
378	84	139
379	84	138
380	84	138
381	85	137
382	85	137
383	85	136
384	85	136
385	85	135
386	85	135
387	85	134
388	85	134
389	85	133
390	85	133
391	85	132
392	85	132
393	85	132
394	85	131
395	86	131
396	86	130
397	86	130
398	86	129
399	86	129
400	86	129
401	86	128
402	86	128
403	86	127
404	86	127
405	86	126
406	86	126
407	86	126
408	86	125
409	87	125
410	87	124
411	87	124
412	87	123
413	87	123
414	87	123
415	87	122
416	87	122
417	87	121
418	87	121
419	87	121
420	87	120
421	87	120
422	87	119
423	87	119
424	87	118
425	87	118
426	88	118
427	88	117
428	88	117
429	88	116
430	88	116
431	88	116
432	88	115
433	88	115
434	88	115
435	88	114
436	88	114
437	88	113
438	88	113
439	88	113
440	88	112
441	89	112
442	89	112
443	89	111
444	89	111
445	89	111
446	89	110
447	89	110
448	89	109
449	89	109
450	89	109
451	89	108
452	89	108
453	89	108
454	89	107
455	90	107
456	90	107
457	90	106
458	90	106
459	90	106
460	90	105
461	90	105
462	90	104
463	90	104
464	90	104
465	90	103
466	90	103
467	90	103
468	91	103
469	91	102
470	91	102
471	91	102
472	91	101
473	91	101
474	91	101
475	91	100
476	91	100
477	91	100
478	91	99
479	91	99
480	92	99
481	92	99
482	92	98
483	92	98
484	92	98
485	92	97
486	92	97
487	92	97
488	92	96
489	92	96
490	92	96
491	92	95
492	92	95
493	92	95
494	93	94
495	93	94
496	93	94
497	93	93
498	93	93
499	93	93
500	93	92
501	93	92
502	93	92
503	93	92
504	93	91
505	93	91
506	93	91
507	93	90
508	93	90
509	93	90
510	94	89
511	94	89
512	94	89
513	94	89
514	94	88
515	94	88
516	94	88
517	94	87
518	94	87
519	94	87
520	94	87
521	94	86
522	95	86
523	95	86
524	95	86
525	95	85
526	95	85
527	95	85
528	95	85
529	95	84
530	95	84
531	95	84
532	95	84
533	96	83
534	96	83
535	96	83
536	96	82
537	96	82
538	96	82
539	96	82
540	96	81
541	96	81
542	96	81
543	96	81
544	96	80
545	96	80
546	96	80
547	97	80
548	97	79
549	97	79
550	97	79
551	97	78
552	97	78
553	97	78
554	97	78
555	97	77
556	97	77
557	97	77
558	97	77
559	97	76
560	97	76
561	98	76
562	98	76
563	98	75
564	98	75
565	98	75
566	98	75
567	98	74
568	98	74
569	98	74
570	98	74
571	98	73
572	98	73
573	99	73
574	99	73
575	99	73
576	99	72
577	99	72
578	99	72
579	99	72
580	99	71
581	99	71
582	99	71
583	100	71
584	100	71
585	100	70
586	100	70
587	100	70
588	100	70
589	100	69
590	100	69
591	100	69
592	100	69
593	100	68
594	100	68
595	100	68
596	100	68
597	101	67
598	101	67
599	101	67
600	101	67
601	101	67
602	101	66
603	101	66
604	101	66
605	101	66
606	101	65
607	101	65
608	101	65
609	102	65
610	102	65
611	102	64
612	102	64
613	102	64
614	102	64
615	102	63
616	102	63
617	102	63
618	102	63
619	102	63
620	103	62
621	103	62
622	103	62
623	103	62
624	103	61
625	103	61
626	103	61
627	103	61
628	103	61
629	103	60
630	103	60
631	103	60
632	103	60
633	104	60
634	104	59
635	104	59
636	104	59
637	104	59
638	104	59
639	104	58
640	104	58
641	104	58
642	104	58
643	104	58
644	104	57
645	105	57
646	105	57
647	105	57
648	105	56
649	105	56
650	105	56
651	105	56
652	105	56
653	105	55
654	105	55
655	105	55
656	105	55
657	105	55
658	106	54
659	106	54
660	106	54
661	106	54
662	106	54
663	106	53
664	106	53
665	106	53
666	106	53
667	106	53
668	106	52
669	106	52
670	106	52
671	106	52
672	107	52
673	107	51
674	107	51
675	107	51
676	107	51
677	107	51
678	107	50
679	107	50
680	107	50
681	107	50
682	107	50
683	107	49
684	107	49
685	108	49
686	108	49
687	108	49
688	108	48
689	108	48
690	108	48
691	108	48
692	108	48
693	108	47
694	108	47
695	108	47
696	108	47
697	108	47
698	108	46
699	109	46
700	109	46
701	109	46
702	109	46
703	109	45
704	109	45
705	109	45
706	109	45
707	109	45
708	109	45
709	109	44
710	110	44
711	110	44
712	110	44
713	110	44
714	110	43
715	110	43
716	110	43
717	110	43
718	110	43
719	110	43
720	110	42
721	110	42
722	111	42
723	111	42
724	111	42
725	111	42
726	111	41
727	111	41
728	111	41
729	111	41
730	111	41
731	111	40
732	111	40
733	111	40
734	112	40
735	112	40
736	112	40
737	112	39
738	112	39
739	112	39
740	112	39
741	112	39
742	112	38
743	112	38
744	112	38
745	112	38
746	112	38
747	113	38
748	113	37
749	113	37
750	113	37
751	113	37
752	113	37
753	113	37
754	113	36
755	113	36
756	113	36
757	113	36
758	113	36
759	113	35
760	114	35
761	114	35
762	114	35
763	114	35
764	114	35
765	114	34
766	114	34
767	114	34
768	114	34
769	114	34
770	114	34
771	114	33
772	115	33
773	115	33
774	115	33
775	115	33
776	115	33
777	115	32
778	115	32
779	115	32
780	115	32
781	115	32
782	115	32
783	115	31
784	115	31
785	116	31
786	116	31
787	116	31
788	116	31
789	116	30
790	116	30
791	116	30
792	116	30
793	116	30
794	116	30
795	116	29
796	116	29
797	116	29
798	116	29
799	117	29
800	117	29
801	117	28
802	117	28
803	117	28
804	117	28
805	117	28
806	117	28
807	117	27
808	117	27
809	117	27
810	117	27
811	118	27
812	118	27
813	118	27
814	118	26
815	118	26
816	118	26
817	118	26
